City,census_name,State,state_full,fips_code,Country,uuid,Year,Community Survey - Network,Community Survey - Awareness,Community Survey - Safety,Community Survey - Ridership,Community Score - Total,"Community Score - Total, Rounded",Community Survey - Responses,BNA - neighborhoods,BNA - opportunity_employment,BNA - opportunity_k12_education,BNA - opportunity_technical_vocational_college,BNA - opportunity_higher_education,BNA - opportunity,BNA - essential_services_doctors,BNA - essential_services_dentists,BNA - essential_services_hospitals,BNA - essential_services_pharmacies,BNA - essential_services_grocery,BNA - essential_services_social_services,BNA - essential_services,BNA - retail,BNA - recreation_parks,BNA - recreation_trails,BNA - recreation_community_centers,BNA - recreation,BNA - transit,BNA - overall_score,total_low_stress_miles,total_high_stress_miles,city_ratings_total,city_ratings_rounded,population,rank_country,pop_size,rank_country_size,rank_state_size,speed_limit,region,latitude,longitude
Maple Grove,Maple Grove city,MN,Minnesota,2740166,United States,c4817030-7b1c-41c9-8e5a-c67a6531581f,2021,53.5,48,39.25,82.584,55.8335,56,50,43.16,42.69,42.18,0.92,0,37.25,34.08,39.53,46.05,42.74,41.32,42.9,41.02,34.22,62.35,69.63,21.62,54.72,39.93,41.46,324.3,662.1,44.3347,44,70627,71,medium,20,1,30,Midwest,45.1127644,-93.462975
Claremont,Claremont city,CA,California,613756,United States,c405581a-913c-44c7-8361-b6876fede364,2021,65.334,57.166,45,74.416,60.479,60,25,18.35,13.35,33.08,27.75,31.74,25.37,0,0,4.37,6.56,10.77,6.9,5.26,12.54,44.05,8.2,2.48,21.11,25.66,17.78,238,75.6,26.3198,26,36090,336,small,142,24,25,Pacific,34.1249246,-117.7139226
Marshfield,Marshfield city,WI,Wisconsin,5549675,United States,c3faa076-8c51-4932-a940-a35cd92ef4c5,2021,41.398,44.302,40.928,74.932,50.39,50,31,67.05,54.57,70,57.04,56.48,60.6,39.13,27.23,58.29,42.27,66,27.25,47.02,51.97,78.13,76.52,57.04,72.29,0,59.08,278.5,41.6,57.342,57,18222,19,small,12,2,25,Midwest,44.6623739,-90.1724236
Sacramento,Sacramento city,CA,California,664000,United States,c3ee6ace-9a77-4a13-8d81-4935fb4ef2f0,2021,57.138,55.22,47.146,72.9,58.101,58,265,36.89,27.53,56.08,21.55,18.93,35.2,15.72,11.71,18.27,20.18,34.39,9.53,20.01,23.62,60.12,33.63,11.76,38.76,21.1,29.1,2747.3,635,34.9002,35,500930,177,large,22,3,25,Pacific,38.5665924,-121.4686318
Erie,Erie city,PA,Pennsylvania,4224000,United States,c2e1c0ce-2472-4cf6-ba64-c3e03e9d25d3,2021,46.112,37.43,45.624,77.916,51.7705,52,60,39.43,35.55,57.41,12.57,32.47,40.29,53.9,30.5,49.28,39.62,58.33,50.32,49.78,50.04,68.32,11.04,18.95,35.93,6.87,37.85,518.2,206.8,40.6341,41,97263,98,medium,38,1,25,Mid-Atlantic,42.1165941,-80.0735032
Vero Beach,Vero Beach city,FL,Florida,1274150,United States,c2da529a-5fb3-43fa-a3ae-384bb1381280,2021,48.484,34.874,40.91,69.318,48.3965,48,33,11.37,7.64,7.71,3.23,0,7.12,8.05,2.83,3.34,4.27,9.45,9.96,6.84,16.57,17.45,0,0,10.74,1.69,8.85,28.2,259.8,16.7593,17,16857,552,small,246,12,30,South,27.6472203,-80.3931364
Trussville,Trussville city,AL,Alabama,176944,United States,c2bf8487-eb54-49e9-b8e3-f5b54abf0417,2021,29.57,31.908,41.13,55.982,39.6475,40,31,32.11,27.24,8.66,0,0,17.95,19.65,20.63,0,11.23,24.34,0,13.2,0.57,29.66,0,0,29.66,0,18.33,327.8,76.2,22.5935,23,21876,412,small,182,4,25,South,33.6393801,-86.5816447
Minneapolis,Minneapolis city,MN,Minnesota,2743000,United States,c2a9d7b9-587e-450f-a4d1-35d6e32ed447,2021,72.354,71.656,45.834,84.474,68.5795,69,252,28.91,24.56,40.95,34.36,31.62,32.69,27.86,23.77,24.47,26.26,41.58,34.08,30.98,38.75,55.27,53.03,25.02,46.92,34.17,35.05,963.8,1456.6,41.7559,42,420324,88,large,12,2,20,Midwest,44.9633242,-93.2683198
Tuscaloosa,Tuscaloosa city,AL,Alabama,177256,United States,c25d14e4-0ccb-4125-bc13-65ead950a215,2021,32.202,36.966,48.148,67.824,46.285,46,81,28.21,23.01,24.75,21.04,24.37,23.69,17.02,6.22,3.57,4.2,23.03,4.69,11.62,23.14,41.71,12.17,22.33,26.53,4.73,19.45,889.4,338.5,24.817,25,99390,369,medium,169,7,25,South,33.2344041,-87.5283003
Wildwood,,NJ,New Jersey,3481170,United States,c25afd53-eba0-4458-b1dd-4ca48ff771e5,2021,0,0,0,0,0,0,0,27.58,27.83,14.53,0,0,21.18,17.46,16.3,0,17.79,42.34,0,26.9,58.13,26.03,0,17.22,22.64,8.98,27.22,40.6,18.1,27.22,27,5042,316,small,133,6,25,Mid-Atlantic,38.9875502,-74.8181879
Centerville,Centerville city,OH,Ohio,3913190,United States,c243a176-e4b3-4e89-a38e-0a4b4e6a8d7e,2021,45.72,32.702,42.398,65.71,46.6325,47,37,27.06,25.22,29.92,11.03,0,25.5,2.36,10.76,30.99,10.85,25.83,27.88,19.47,25.36,61.63,31.52,14.3,39.26,0,26.76,257.6,56.2,30.7345,31,23796,239,small,103,8,25,Midwest,39.6343546,-84.1456862
Lyon,,ARA,Auvergne-Rhone-Alpes,,France,c173e8bd-d8ec-41b3-8634-06c672f6a54b,2021,40.56,45,40.4,81.8,51.93,52,151,38.14,,75.84,66.91,58.28,69.23,59.19,42.05,69.56,75.76,83.28,76.15,69.77,33.43,75.52,47.17,60.68,61.89,58.37,56.57,341,381.9,55.642,56,1076752,,large,,,,Europe,45.764,4.8357
San Juan,San Juan Municipio,PR,Puerto Rico,7200000,United States,c151b363-5438-45a0-8deb-8268f6fe4321,2021,35.416,51.042,42.188,80.208,52.2135,52,12,33.78,,59.41,29.68,25.67,44.83,41.54,29.44,40.04,40.07,40.96,35.38,38.81,24.83,56.11,0,28.77,45.59,31.67,37.11,1343.6,305.5,40.1307,40,335468,106,large,14,1,25,South,18.4655,-66.1057
Ventura,San Buenaventura (Ventura) city,CA,California,665042,United States,c1288f51-ef2e-4532-a785-01f1a0374269,2021,52.712,57.276,43.898,69.444,55.8325,56,126,32.97,28.25,46.77,20.18,19.53,32.18,28.48,31.32,27.26,36.93,42.86,21.92,31.98,35.62,58.79,33.38,14.8,38.9,19.91,31.94,600.5,197.2,36.7185,37,109910,157,medium,66,14,25,Pacific,34.2677796,-119.2542062
Germantown,Germantown CDP,MD,Maryland,2432025,United States,c11b147f-3c77-41fe-bc55-98388c5bb99a,2021,43.828,39.46,48.612,70.138,50.5095,51,54,20.31,16.08,36.05,10.03,0,24.06,5.9,0,10.03,4.95,24.08,27.08,15.29,19.73,50.5,37.46,1.91,33.79,5.44,19.76,99.8,436.6,25.9099,26,90582,347,medium,158,2,30,Mid-Atlantic,39.1742524,-77.2637543
Old Saybrook,Old Saybrook town,CT,Connecticut,957320,United States,c0545cba-6e45-42f4-8c38-75f618cc1657,2021,55.278,21.112,41.876,53.334,42.9,43,30,34.86,24.86,21.96,0,0,20.48,10.12,0,2.3,14.15,7.47,2.66,6.85,8.51,38,0,0,38,7.95,18.86,177,72.4,23.668,24,10090,393,small,171,6,25,New England,41.2935043,-72.3835936
Charleston,Charleston city,WV,West Virginia,5414600,United States,c048a617-28a6-4d2c-beaa-305431546356,2021,44.956,43.684,44.902,70.066,50.902,51,38,12.53,9.28,10.53,4.24,14.84,10.33,4.21,2.63,2.97,3.42,9.53,3.2,4.9,3.8,15.88,5.02,0.26,8.17,0.76,6.84,100.4,1374.2,15.6524,16,48006,589,small,262,4,25,South,38.3486917,-81.632324
Ocala,Ocala city,FL,Florida,1250750,United States,bfdb9c4d-c0df-43e8-8eec-584aa31a2a87,2021,37.8,39.166,44.25,62.834,46.0125,46,125,15.04,12.93,11.29,9.76,9.76,11.41,4.55,12.88,16.83,2.92,12.13,0,10.46,12.88,13.32,0,0,13.32,0.01,10.56,33.2,978.2,17.6505,18,59267,527,medium,233,10,30,South,29.1780037,-82.151168
Paris,,IDF,Ile-de-France,,France,bf739979-5ab8-4f2e-aaac-cadf9cd79685,2021,36,40.8,41.6,80.6,49.74,50,225,57.39432703,,80.32891837,77.19511838,67.74845057,76.08470803,75.95439716,70.53573313,74.14133771,80.51221367,87.01947048,78.87919121,78.71068795,40.4873957,79.70066909,69.27174214,71.29134655,73.94821402,73.89071897,69.83516687,,,65.8161335,66,9845879,,large,,,,Europe,48.8566,2.3522
Northport,Northport village,NY,New York,3653396,United States,bf4e36d7-eb89-4e08-b2dd-cceefdbc6889,2021,40.262,22.228,40.73,54.4,39.405,39,89,9.56,7.81,13.85,0,0,10.83,0,0,0,0,6.79,0,2.26,34.13,22.75,0,0,22.75,0,12.58,1.2,74.2,17.945,18,7328,521,small,232,5,30,Mid-Atlantic,40.9040451,-73.3449678
North Kansas City,North Kansas City city,MO,Missouri,2953102,United States,bf3fd5ec-654a-4b00-bbe0-09bb87916eda,2021,52.884,43.334,44.712,72.276,53.3015,53,26,45.67,47.68,26.55,0,0,28.87,77.48,71.07,8.98,35.43,74.05,0.04,46.46,3.72,60.46,0.09,0,24.22,0,26.11,80.6,32.2,31.5483,32,4477,225,small,98,1,25,Midwest,39.1395576,-94.5647503
Charlottesville,Charlottesville city,VA,Virginia,5114968,United States,beef2ec3-2b86-4b06-beef-77ce27f208fc,2021,48.46,45.804,42.972,78.94,54.044,54,249,18.69,10.35,30.49,4.24,36.52,22.02,17.97,0,16.46,8.36,20.77,13.39,14.92,28.91,55.94,19.8,6.4,30.91,15.44,21.48,268.1,92.5,27.9928,28,47096,297,small,129,10,25,South,38.0376579,-78.4853806
San Juan Capistrano,San Juan Capistrano city,CA,California,668028,United States,bec7f366-57db-4e1f-b1f3-c7befc5163fa,2021,53,40.834,42.5,71.334,51.917,52,25,20.98,20.39,27.06,2.69,0,21.1,0.33,0,0,8.02,18.65,14.36,7.68,22.25,55.9,53.34,18.07,45.55,18.26,21.81,299.4,72,27.8314,28,35922,302,small,130,23,25,Pacific,33.5008946,-117.6543971
Wheat Ridge,Wheat Ridge city,CO,Colorado,884440,United States,be70cccb-67c6-4a81-b1d5-24e9921c9b87,2021,53.658,44.37,44.818,78.302,55.287,55,41,11.41,9.09,26.14,3.35,32.66,19.2,9.21,9.83,8.9,4.41,10.02,1.35,7.75,31.29,36.75,7.19,1.64,17.63,14.8,16.66,58.3,290.5,24.3854,24,31331,376,small,159,5,30,Mountain,39.7726754,-105.1048006
Mobile,Mobile city,AL,Alabama,150000,United States,be50c67d-1355-42fd-899d-548d27237d76,2021,33.654,34.626,47.436,56.41,43.0315,43,78,33.92,22.69,40.1,17.96,38.46,31.46,14.05,13.81,17.68,5.44,15.96,14.95,14.5,12.44,45.42,0,20.5,35.84,13.67,23.57,2096.1,530.9,27.4623,27,190432,310,medium,139,4,25,South,30.668426,-88.1002261
Santa Barbara,Santa Barbara city,CA,California,669070,United States,be4e986b-69f3-4bd0-87c7-4b853fd17c02,2021,63.308,70.304,41.23,77.858,63.175,63,129,43.17,35.99,59.64,22.32,32.85,42.27,40.22,40.7,13.4,29.71,51.27,38.22,36.32,31.44,66.19,9.43,17.47,34.14,24.74,35.74,447.5,154.9,41.227,41,91376,92,medium,34,6,25,Pacific,34.4006009,-119.7129545
Warren,Warren city,PA,Pennsylvania,4281000,United States,be0f94b6-b944-4548-a60a-f3f6b34f234d,2021,47.53,37.932,47.222,68.75,50.3585,50,27,41.17,33.45,24.34,0,0,28.9,0,0,6.77,0,46.66,0,28.93,0,40.08,0,0,40.08,0,27.95,78.1,19.9,32.4317,32,9191,209,small,89,7,25,Mid-Atlantic,41.8429159,-79.1438651
Kingston,Kingston city,NY,New York,3639727,United States,bdd7bc26-3ad2-492d-86a6-ed0171f5cf45,2021,52.688,52.796,43.548,73.724,55.689,56,31,9.12,7.17,7.53,0,0,7.35,0.64,6.47,11.18,6.96,2.47,3.33,4.82,5.33,19.37,100,1.1,43.02,0,11.05,14,190.2,19.9778,20,23070,473,small,209,3,30,Mid-Atlantic,41.9301241,-73.9967823
Harleysville,Harleysville CDP,PA,Pennsylvania,4232616,United States,bdb60dbc-e76d-4e6b-a5f3-a211d20ebf0b,2021,42.708,38.484,40.624,63.494,46.3275,46,88,43.98,35.79,31.28,0,0,33.54,0,0,0,37.63,32.8,0,34.18,39.21,51.48,0,0,51.48,2.33,34.09,86.2,16.8,36.5375,37,9568,159,small,72,6,25,Mid-Atlantic,40.2784026,-75.3878567
Edgewater,,NJ,New Jersey,3420020,United States,bd257981-79f4-419a-923f-8194e94344fd,2021,0,0,0,0,0,0,0,13.73,18.44,20.25,0,0,19.35,30.72,0,0,27.78,36.04,0,17.93,0,57.42,45.68,0,38.96,0,18.07,28.7,9.6,18.07,18,12403,515,small,229,8,25,Mid-Atlantic,40.82465,-73.9737928
Louisville,Louisville/Jefferson County metro government (balance),KY,Kentucky,2148006,United States,bcc9b978-6a72-4ad8-9848-ddc360621d13,2021,52.31,62.808,47.322,70.85,58.3225,58,119,12.1,8.86,14.96,8.39,5.99,10.37,5.93,5.39,6.93,4.09,7.26,5.07,6.1,4.64,15.3,6.66,2.43,9.06,4.7,7.87,502.5,5582.1,17.9605,18,617790,520,large,59,2,35,South,38.1653759,-85.6473774
Janesville,Janesville city,WI,Wisconsin,5537825,United States,bc9bd071-49cf-4a57-a527-dfef40fa02f7,2021,53.268,51.7,40.808,71.446,54.3055,54,51,41.37,31.74,43.48,5.06,66.77,40.19,18.43,15.86,25.86,28.49,26.42,5.29,20.69,38.83,68.28,56.97,0,63,8.33,34.91,628.3,195.9,38.7891,39,64245,121,medium,48,6,25,Midwest,42.6846985,-89.0131701
St. Louis,St. Louis city,MO,Missouri,2965000,United States,bc23904a-6735-45c1-b427-2be33234c0fa,2021,47.446,51.382,47.048,70.558,54.1085,54,235,33.75,23.07,53.18,29.48,22.05,34.05,19.47,26.54,29.38,22.65,42.69,30.49,29.94,50.01,59.95,28.81,11.55,36.95,13.62,32.95,1548.1,663,37.1817,37,308174,152,large,20,1,25,Midwest,38.6356988,-90.2445816
San Antonio,San Antonio city,TX,Texas,4865000,United States,bb7b4d56-552a-4d3f-af5b-9f1b41e59b7e,2021,47,57.152,46.082,71.152,55.3465,55,536,13.32,9.96,21.78,2.86,7.54,12.9,7.45,6.21,8.89,9.25,11.24,7.32,8.72,19.7,21.63,13.96,1.95,14.03,4.96,12.13,1014.2,9932.7,20.7733,21,1508083,457,large,53,2,30,South,29.4659393,-98.5247027
Winter Garden,,FL,Florida,1278250,United States,bb723bf1-b532-4e15-aa49-0ccf13c15e9d,2021,0,0,0,0,0,0,0,15.86,13.54,10.46,0,0,12,10.03,7.64,0,11.25,16.42,9.9,11.86,8.63,29.12,14.85,5.18,18.14,0,13.14,40.7,387.8,13.14,13,43648,637,small,286,21,30,South,28.5412165,-81.591241
Bella Vista,Bella Vista city,AR,Arkansas,504840,United States,bb5baedf-ac9a-4a7e-aa19-3bcc16b344ef,2021,40.498,70.35,38.378,81.688,57.7285,58,57,55.19,50.56,0,0,0,50.56,39.27,30.94,0,40,36.11,0,36.89,20.45,58.03,79.96,47.82,63.15,0,45.07,1146.9,109.1,47.6017,48,28539,55,small,32,2,25,South,36.4666414,-94.266317
Marseille,,PAC,Provence-Alpes-Cote d'Azur,,France,bb231e67-4487-4bdc-a7ba-ec70a8bf9caf,2021,19.82,22.2,45.6,76,40.86,41,161,23.89,,72.54,55.44,17.48,53.46,43.74,13.5,42.51,71.37,75.14,67.56,54.66,52.39,69.44,43.05,58.19,57.39,40.23,47.71,938.3,1418.3,46.34,46,909566,,large,,,,Europe,43.2965,5.3698
East Northport,East Northport CDP,NY,New York,3622612,United States,ba8adf92-25ad-40cc-a553-11851b61ecd1,2021,45.308,25.954,40.838,52.71,41.2025,41,103,7.06,6.23,16.85,0,0,11.54,0,0,3.67,0,3.91,0,1.9,20.2,12.74,0,0,12.74,1.46,8.91,1.2,169,15.3685,15,20190,597,small,266,10,30,Mid-Atlantic,40.8791553,-73.3232308
Wichita,Wichita city,KS,Kansas,2079000,United States,ba10b882-d3a2-4cc1-9449-8feb38457c9a,2021,45.094,51.62,45.568,76.728,54.7525,55,141,9.76,6.98,9.62,2.13,3.77,6.78,2.31,3.7,5.89,5.96,6.87,2.64,4.72,3.75,13.01,9.85,0.95,8.89,0,6.66,240.5,4151.5,16.2785,16,389877,564,large,63,1,30,Midwest,37.6906377,-97.3458363
Sydney,,NSW,New South Wales,,Australia,b9f3e779-73ce-45b0-8ee1-7708ee66abc5,2021,45,38,49.2,71.2,50.83,51,85,25.17,,51.76,43.22,33.74,45.07,46.68,38.49,34.65,47.9,69.02,23.04,45.62,61.12,71.34,51.45,31.03,54.3,52.21,47,241.5,305,47.814,48,208374,5,medium,3,1,31,Australia,-33.8688,151.2093
Jersey City,Jersey City city,NJ,New Jersey,3436000,United States,b99ab55b-1112-4e2c-ac73-86f7204620b8,2021,56.324,43.02,47.488,86.682,58.3785,58,112,24.34,23.04,53.2,12.95,14.88,30.96,23.52,25.6,25.3,30.24,42.5,20.01,28.97,5.54,49.12,0,7.71,21.58,29.92,24.19,316.6,175.8,31.0277,31,261940,231,medium,101,1,25,Mid-Atlantic,40.7114174,-74.0647599
Virginia Beach,Virginia Beach city,VA,Virginia,5182000,United States,b98f8c33-7e13-49a6-8276-2775a7795a58,2021,44.12,37.176,43.82,68.264,48.345,48,180,25.64,16.05,33.08,12.82,16.59,21.8,10.17,11.15,3.78,12.53,22.03,4.11,11.28,24.45,46.23,28.2,15.68,32.28,9.81,20.44,3290.7,902.2,26.021,26,450201,346,large,44,1,25,South,36.7799854,-76.0252094
New Hartford,,NY,New York,3650298,United States,b95f2c85-108d-4b53-b993-1d4838126e5a,2021,0,0,0,0,0,0,0,11.13,6.64,13.06,0,0,7.66,10.86,6.01,0,9.54,7.11,0,5.5,19.87,21.01,0,0,12.93,0,10.85,0,17.9,10.85,11,1774,648,small,296,16,30,Mid-Atlantic,43.0710381,-75.288618
Athens,Athens-Clarke County unified government (balance),GA,Georgia,1303440,United States,b9506ba3-8d5a-4251-906b-56b3484a980e,2021,56.45,47.204,44.95,74.188,55.698,56,177,19.55,14.99,15.24,6.56,20.95,15.43,0,0,3.49,7.99,15.78,20.89,12.25,9.08,18.21,0,0.92,11.56,2.73,11.97,94.1,1506.8,20.7156,21,124719,459,medium,203,2,30,South,33.9495967,-83.3700882
Traverse City,Traverse City city,MI,Michigan,2680340,United States,b87a1731-50d0-431d-8709-8b3fcdd47c13,2021,70.978,88.65,45.474,85.272,72.5935,73,29,64.91,67.32,70.66,0,45.83,63.84,66.21,64.93,77.59,43.12,71.66,50.74,65.09,68.17,78.26,72.31,0,56.61,47.38,61.35,187.2,37.7,63.5987,64,15570,9,small,6,2,25,Midwest,44.754309,-85.6030111
Bristol,Bristol city,CT,Connecticut,908420,United States,b818c74a-22d3-4aba-864a-62e2f48e8fd8,2021,39.112,24.422,42.742,66.936,43.303,43,62,26.69,17.8,35.04,0,0,23.12,10.8,0,5.3,5.64,8.52,13.59,8.84,1.54,27.97,39.29,19.47,29.81,0,17.76,428.3,135.7,22.8686,23,60218,409,medium,181,3,25,New England,41.6815776,-72.9407487
Laguna Beach,Laguna Beach city,CA,California,639178,United States,b7ac39e5-b380-4492-a831-ced246f281da,2021,38.794,28.678,45.044,74.64,46.789,47,29,46.55,29.86,28.96,0,16.28,23.84,4.69,33.54,40.9,0.31,28.38,0,19.6,10.95,64.26,89.02,40.97,67.1,5.49,28.2,179.5,38.6,31.9178,32,23036,215,small,92,15,25,Pacific,33.5428992,-117.7624682
Morgantown,Morgantown city,WV,West Virginia,5455756,United States,b730158b-ef30-497f-a8c1-6642f14ad0a5,2021,48,49.416,43.75,81.334,55.625,56,50,28.29,18.31,26.54,22.84,37.34,25.45,7.86,12.07,11.99,15.79,25.19,0.62,13.15,11.57,50.74,45.75,15.58,40.2,23.65,23.28,271.3,59.4,29.749,30,30712,259,small,113,2,25,South,39.637487,-79.9468557
Vernon,,BC,British Columbia,,Canada,b6aebeb5-cb2c-4642-8ba7-675c0d4cbf93,2021,45.71,56.2,41.8,80.6,56.07,56,66,35.25,,40.11,11.37,0,33.95,13.66,0,13.22,18.58,36.98,32.43,23.72,25.24,65.15,31.42,17.83,41.51,0,32,98.3,391.5,36.47,36,40116,29,small,1,1,31,Canada,50.267,-119.272
Happy Valley,,OR,Oregon,4132050,United States,b65dd892-78ff-4d5e-92b6-f4994934b193,2021,0,0,0,0,0,0,0,21.54,16.99,21.89,0,0,17.01,16.35,8.97,20.71,4.97,15.87,19.65,15.72,21.3,57.94,0,9.13,25.46,0.96,16.94,163.4,44.7,16.94,17,20971,546,small,243,5,25,Pacific,45.4375341,-122.5199467
Collierville,Collierville town,TN,Tennessee,4716420,United States,b5472519-e1a5-44a5-b933-b0724ed37dea,2021,38.288,49.504,43.412,70.382,50.3965,50,37,32.79,18.5,15.79,0,0,17.15,0,3.66,11.89,13.58,1.6,23.16,7.98,7.97,30.19,0,0,30.19,0,18.43,493.4,164.6,24.8233,25,50086,368,medium,168,6,25,South,35.0489249,-89.6970764
Peters,,PA,Pennsylvania,4259608,United States,b50143d7-c44d-4263-b680-4497a491cfea,2021,0,0,0,0,0,0,0,27.37,25.54,22.89,0,0,24.22,0,5.79,22.23,6.9,23.65,25.18,15.4,43.85,31.63,29.88,44.86,34.33,1.65,24,272,82.9,24,24,21983,385,small,165,13,25,Mid-Atlantic,40.2778,-80.0839
Conway,Conway city,AR,Arkansas,515190,United States,b3f25cfc-bd3b-4b2d-8581-b3228314fa65,2021,47.62,48.796,43.254,56.846,49.129,49,63,29.32,22.18,24.89,29.94,36.93,26.85,32.01,12.44,19.73,15.2,11.15,0,18.71,10.36,25.42,8.7,0,17.62,0,20.83,596.7,225.2,26.4898,26,66127,332,medium,150,4,20,South,35.0743504,-92.4670775
Edmond,Edmond city,OK,Oklahoma,4023200,United States,b3c41024-13f5-42f3-bb51-7961a2faf9e1,2021,44.252,44.886,42.888,63.29,48.829,49,58,26.8,17.6,26.31,0,15.09,20.43,9.99,2.55,8.67,8.12,12.77,0,9.4,21.16,39.03,36.1,19.49,33.12,0,21.33,1020.4,359.6,26.8298,27,92009,323,medium,145,1,25,South,35.6738074,-97.4130764
Kitchener,,ON,Ontario,,Canada,b361ea97-1381-4efd-bbb9-5447f329f1b3,2021,56.05,51,42.8,71,55.19,55,168,31.16,,59.83,31.74,19.74,43.59,30.09,40.31,18.72,41.91,52.46,36.61,36.59,64.52,73.55,33.11,22.48,46.63,34.18,43,369.2,1095.7,45.046,45,233222,11,medium,5,1,31,Canada,43.4516,-80.4925
Peterborough,,ON,Ontario,,Canada,b2be9b39-883b-4388-93b1-8fbe42f7d168,2021,49.34,49.6,44.2,74.8,54.47,54,76,31.79,,51.43,34.6,25.45,41.11,17.39,26.82,13.43,45.33,50.36,46.76,32.98,64.23,71.71,33.81,22.42,46.12,5.55,37,131.5,513,40.47,40,81032,20,medium,12,4,31,Canada,44.3091,-78.3197
Westerville,Westerville city,OH,Ohio,3983342,United States,b25061b0-f237-408d-adc1-7cf6cbcb01eb,2021,61.036,48.896,40.034,62.05,53.004,53,37,28.5,28.51,52.58,0,32.92,38.85,17.96,23.16,1.89,13.89,32.47,0,15.79,22.3,60.16,47.21,16.63,44.75,0,25.26,309.5,73.2,30.8088,31,39877,237,small,101,7,25,Midwest,40.1234352,-82.9133238
Newbury Park,,CA,California,612345,United States,b24564d6-46ad-4c25-be3c-45977e0dc1ff,2021,38.272,40.772,43.288,67.13,47.3655,47,27,42.13,28.12,38.38,0,0.15,25.89,4.63,13.31,18.96,32.82,40.21,0,22.8,9.57,60.24,51.33,9.74,44.5,0,24.17,377.9,74.7,28.8091,29,44968,275,small,121,21,25,Pacific,34.1805,-118.9071
Cheyenne,Cheyenne city,WY,Wyoming,5613900,United States,b23d0d68-02d6-4ddf-93d7-787ec997c58f,2021,51.08,41.004,42.592,83.796,54.618,55,54,9.22,5.01,11.55,0,0,8.28,5.25,7.23,4.33,1.26,3.89,4.2,4.37,4.02,15.4,10.47,0.61,9.98,0,7.07,302.5,754.8,16.5796,17,63607,555,medium,245,1,30,Mountain,41.1403297,-104.7933081
Tulsa,Tulsa city,OK,Oklahoma,4075000,United States,b2322093-1f8a-4d3a-9eb2-33e6c75815e7,2021,41.51,60.062,44.694,68.004,53.5675,54,106,25.4,16.72,32.69,13.78,12.98,21.27,10.41,8.07,10.86,11.25,15.65,13.88,12.18,28.57,36.92,22.25,8.29,24.63,6.82,19.5,3603.8,1266.7,26.3135,26,402324,338,large,42,2,25,South,36.1279488,-95.9023162
Melrose,Melrose city,MA,Massachusetts,2540115,United States,b1fb39a7-d2af-44ce-aa86-a4f56a3f7013,2021,57.052,34.808,41.826,67.308,50.2485,50,26,5.65,4.74,15.89,0,0,10.32,2.12,4.82,0.86,3.57,6.04,2.18,3.27,2.36,31.81,0,0,16.97,4.91,7.2,21,161.1,15.8097,16,28113,584,small,259,8,30,New England,42.455723,-71.0590194
Fayetteville,Fayetteville city,NC,North Carolina,3722920,United States,b170b055-d2ef-4dcd-ac7d-29df47dfb1f5,2021,27.288,13.44,49.02,58.334,37.0205,37,102,13.74,10.67,11.32,4.64,13.45,10.85,3.97,1.32,5.33,4.9,9.61,0,5.75,16.74,14.13,15.02,5.61,12.31,0.33,9.79,233.8,2381.8,15.2361,15,210432,601,medium,266,8,35,South,35.0827658,-78.9735152
Crofton,Crofton CDP,MD,Maryland,2420875,United States,b14d173b-6fef-448b-965f-614798496d8a,2021,28.386,29.532,46.484,51.302,38.926,39,32,25.56,12.63,31.4,0,0,22.02,0,0,0,0,5.28,0,2.4,16.37,53.79,0,0,53.79,0,22.64,26.1,155.3,25.8972,26,29136,348,small,145,2,30,Mid-Atlantic,39.0144336,-76.6800125
Blacksburg,Blacksburg town,VA,Virginia,5107784,United States,b12c6c21-cf24-40b9-8092-2c1e136d7e19,2021,66.018,55.972,42.952,79.306,61.062,61,180,38.62,35.03,29.31,26.95,64.08,38.03,36.88,25.65,6.27,21.04,32.28,19.88,24.35,41.92,64.5,40.88,19.57,45,0,36.83,363.9,104.1,41.6764,42,44303,89,small,45,3,25,South,37.2312641,-80.4267452
Paramus,,NJ,New Jersey,3455950,United States,b0b9ee8f-edea-44a8-996e-0201eb621169,2021,0,0,0,0,0,0,0,15.31,16.13,48.05,10.85,0,23.55,12.25,4.8,10.69,0.77,18.93,8.54,11.16,31.45,61.08,0,0,37.59,9.77,21.06,176.1,102.9,21.06,21,26503,449,small,198,7,25,Mid-Atlantic,40.9472994,-74.0701694
Massapequa,Massapequa Park village,NY,New York,3645997,United States,b033cc19-87a8-4cf1-9142-8c8279a126b1,2021,46.944,34.722,40.624,68.75,47.76,48,30,3.64,2,5.12,0,0,3.56,0.93,0,0,1.43,1.38,0,1.04,16.69,10.52,1.32,0,4.67,0.72,4.78,3.6,160.6,13.376,13,17193,632,small,282,14,30,Mid-Atlantic,40.6809094,-73.4496893
Centerville,Centerville city,UT,Utah,4911980,United States,aff17b58-3099-4244-8bf0-32abe843b8f6,2021,51.19,42.084,40.848,68.006,50.532,51,28,33.41,14.82,33.5,0,0,24.16,0,0,0,0,9.35,0,2.75,11.88,54.24,0.58,0,29.2,0,19.48,124,42.9,25.6904,26,17404,351,small,148,4,25,Mountain,40.9262974,-111.883339
